     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum            CV_value           Inst_Bias            Tot_Bias
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs                                  kJ/mol              kJ/mol
     169           47.32690619         26.39523807         20.93166812        138.58277894        151.17226361       9501.19548684          0.00000000          1.12277156          0.00000000          0.00000000
     170           47.34244521         26.44762138         20.89482383        133.38632258        151.47227621       9195.68830616          0.00000000          1.12277787          0.00000000          0.00000000
     171           47.35783815         26.43111268         20.92672548        130.82973203        151.37772665       8871.43586205          0.00000000          1.12278851          0.00000000          0.00000000
     172           47.37327699         26.34550383         21.02777316        131.09359116        150.88742296       8528.69708643          0.00000000          1.12280316          0.00000000          0.00000000
     173           47.38895274         26.19139731         21.19755542        134.15194467        150.00481559       8167.94509816          0.00000000          1.12282154          0.00000000          0.00000000
     174           47.40505303         25.97020198         21.43485104        139.77940619        148.73797348       7789.86558394          0.00000000          1.12284334          0.00000000          0.00000000
     175           47.42175972         25.68411905         21.73764067        147.61178177        147.09950354       7395.35248209          0.00000000          1.12286826          0.00000000          0.00000000
     176           47.43924655         25.33611831         22.10312824        157.22547477        145.10641450       6985.50100801          0.00000000          1.12289600          0.00000000          0.00000000
     177           47.45767692         24.92990489         22.52777203        168.20190997        142.77992657       6561.59809310          0.00000000          1.12292629          0.00000000          0.00000000
     178           47.47720175         24.46987695         23.00732480        180.16413536        140.14522919       6125.11034127          0.00000000          1.12295885          0.00000000          0.00000000
     179           47.49795752         23.96107482         23.53688269        192.78986980        137.23118958       5677.66963832          0.00000000          1.12299340          0.00000000          0.00000000
     180           47.52006449         23.40912213         24.11094237        205.81061658        134.07001565       5221.05657886          0.00000000          1.12302969          0.00000000          0.00000000
     181           47.54362513         22.82015965         24.72346547        219.00473299        130.69687729       4757.18190321          0.00000000          1.12306747          0.00000000          0.00000000
     182           47.56872267         22.20077275         25.36794992        232.18904730        127.14949046       4288.06616176          0.00000000          1.12310650          0.00000000          0.00000000
     183           47.59542005         21.55791310         26.03750695        245.21111726        123.46766919       3815.81784722          0.00000000          1.12314657          0.00000000          0.00000000
     184           47.62375895         20.89881581         26.72494314        257.94282563        119.69285082       3342.61025480          0.00000000          1.12318746          0.00000000          0.00000000
     185           47.65375921         20.23091287         27.42284634        270.27536347        115.86760027       2870.65734695          0.00000000          1.12322897          0.00000000          0.00000000
     186           47.68541846         19.56174399         28.12367447        282.11541263        112.03509934       2402.18891285          0.00000000          1.12327095          0.00000000          0.00000000
     187           47.71871202         18.89886587         28.81984615        293.38228532        108.23862722       1939.42532224          0.00000000          1.12331321          0.00000000          0.00000000
     188           47.75359311         18.24976110         29.50383201        304.00579822        104.52103855       1484.55217960          0.00000000          1.12335563          0.00000000          0.00000000
     189           47.78999329         17.62174767         30.16824562        313.92469917        100.92424540       1039.69518685          0.00000000          1.12339808          0.00000000          0.00000000
     190           47.82782323         17.02189036         30.80593287        323.08550595         97.48870954        606.89552143          0.00000000          1.12344045          0.00000000          0.00000000
     191           47.86697370         16.45691495         31.41005875        331.44165164         94.25295117        188.08603137          0.00000000          1.12348265          0.00000000          0.00000000
     192           47.90731680         15.93312634         31.97419046        338.95285841         91.25308015       -214.93145979          0.00000000          1.12352463          0.00000000          0.00000000
     193           47.94870746         15.45633170         32.49237577        345.58468239         88.52235557       -600.50745801          0.00000000          1.12356633          0.00000000          0.00000000
     194           47.99098516         15.03176940         32.95921577        351.30818785         86.09077896       -967.16444943          0.00000000          1.12360772          0.00000000          0.00000000
     195           48.03397580         14.66404480         33.36993100        356.09972000         83.98472634      -1313.61465155          0.00000000          1.12364881          0.00000000          0.00000000
     196           48.07749378         14.35707353         33.72042025        359.94075468         82.22662358      -1638.77564214          0.00000000          1.12368962          0.00000000          0.00000000
     197           48.12134426         14.11403311         34.00731115        362.81780916         80.83466907      -1941.78366829          0.00000000          1.12373017          0.00000000          0.00000000
     198           48.16532546         13.93732338         34.22800208        364.72240346         79.82260734      -2222.00446522          0.00000000          1.12377052          0.00000000          0.00000000
     199           48.20923114         13.82853636         34.38069477        365.65106518         79.19955634      -2479.04144455          0.00000000          1.12381076          0.00000000          0.00000000
     200           48.25285309         13.78843589         34.46441720        365.60537432         78.96989068      -2712.74114297          0.00000000          1.12385099          0.00000000          0.00000000
